
[1mInitial resource allocation (minimum time criterium):[0m
  T167 -> HC1_87 [startTime: 342, endTime: 350]
  T168 -> HC1_88 [startTime: 342, endTime: 345]
  T169 -> HC2_79 [startTime: 342, endTime: 351]
  T170 -> HC2_80 [startTime: 182, endTime: 193]
  T171 -> HC1_89 [startTime: 102, endTime: 117]
  T172 -> HC2_81 [startTime: 101, endTime: 151]
  T173 -> HC1_90 [startTime: 59, endTime: 137]
  T174 -> HC2_82 [startTime: 281, endTime: 290]
  T175 -> HC1_91 [startTime: 105, endTime: 119]
  T176 -> HC2_83 [startTime: 114, endTime: 135]
  T177 -> HC2_84 [startTime: 114, endTime: 158]
  T178 -> HC2_85 [startTime: 114, endTime: 125]
  T179 -> HC2_86 [startTime: 114, endTime: 147]
  T180 -> HC2_87 [startTime: 186, endTime: 267]
  T181 -> HC2_88 [startTime: 137, endTime: 169]
  T182 -> HC1_92 [startTime: 105, endTime: 127]
  T183 -> PP1_0 [startTime: 8, endTime: 312]
  T184 -> HC2_89 [startTime: 305, endTime: 363]
  T185 -> HC1_94 [startTime: 149, endTime: 192]
  T186 -> HC2_90 [startTime: 179, endTime: 211]
  T187 -> HC2_91 [startTime: 179, endTime: 250]
  T188 -> HC1_95 [startTime: 124, endTime: 184]
  T189 -> HC2_92 [startTime: 124, endTime: 128]
  T190 -> HC2_93 [startTime: 124, endTime: 132]
  T191 -> HC2_94 [startTime: 124, endTime: 157]
  T192 -> HC1_96 [startTime: 36, endTime: 57]
  T193 -> HC1_97 [startTime: 36, endTime: 92]
  T194 -> HC1_98 [startTime: 115, endTime: 128]
  T195 -> HC2_95 [startTime: 115, endTime: 137]
  T196 -> HC1_99 [startTime: 115, endTime: 173]
  T197 -> HC1_100 [startTime: 115, endTime: 125]
  T198 -> HC2_96 [startTime: 262, endTime: 272]
  T199 -> HC2_97 [startTime: 262, endTime: 274]
Overall Time: 425
Overall Cost: 298038

There is a slower resource available for T20
Time intervals have been recomputed:
  T0 -> HC2_0 [startTime: 0, endTime: 3]
  T1 -> HC1_0 [startTime: 3, endTime: 49]
  T2 -> HC2_1 [startTime: 3, endTime: 64]
  T3 -> HC2_2 [startTime: 49, endTime: 49]
  T4 -> HC2_3 [startTime: 49, endTime: 80]
  T5 -> HC1_1 [startTime: 49, endTime: 78]
  T6 -> HC1_2 [startTime: 64, endTime: 90]
  T7 -> HC1_3 [startTime: 78, endTime: 148]
  T8 -> HC2_4 [startTime: 90, endTime: 163]
  T9 -> HC2_5 [startTime: 90, endTime: 99]
  T10 -> HC2_6 [startTime: 99, endTime: 117]
  T11 -> HC1_4 [startTime: 99, endTime: 130]
  T12 -> HC2_7 [startTime: 78, endTime: 78]
  T13 -> HC2_8 [startTime: 80, endTime: 95]
  T14 -> HC2_9 [startTime: 78, endTime: 137]
  T15 -> HC2_10 [startTime: 163, endTime: 224]
  T16 -> HC1_5 [startTime: 163, endTime: 215]
  T17 -> HC1_6 [startTime: 163, endTime: 196]
  T18 -> HC1_7 [startTime: 130, endTime: 167]
  T19 -> HC2_11 [startTime: 95, endTime: 95]
  T20 -> PP2_1 [startTime: 3, endTime: 825]
  T21 -> HC1_8 [startTime: 825, endTime: 868]
  T22 -> HC2_13 [startTime: 825, endTime: 825]
  T23 -> HC2_14 [startTime: 167, endTime: 193]
  T24 -> HC2_15 [startTime: 95, endTime: 127]
  T25 -> PP2_0 [startTime: 95, endTime: 146]
  T26 -> HC1_9 [startTime: 95, endTime: 104]
  T27 -> HC1_10 [startTime: 163, endTime: 217]
  T28 -> HC2_16 [startTime: 217, endTime: 236]
  T29 -> HC2_17 [startTime: 236, endTime: 281]
  T30 -> HC2_18 [startTime: 236, endTime: 242]
  T31 -> HC2_19 [startTime: 236, endTime: 267]
  T32 -> HC2_20 [startTime: 236, endTime: 253]
  T33 -> HC1_11 [startTime: 825, endTime: 853]
  T34 -> HC1_12 [startTime: 825, endTime: 868]
  T35 -> HC2_21 [startTime: 825, endTime: 844]
  T36 -> HC1_13 [startTime: 825, endTime: 847]
  T37 -> HC2_22 [startTime: 78, endTime: 91]
  T38 -> HC2_23 [startTime: 148, endTime: 163]
  T39 -> HC1_14 [startTime: 267, endTime: 280]
  T40 -> HC2_24 [startTime: 267, endTime: 326]
  T41 -> HC2_25 [startTime: 267, endTime: 342]
  T42 -> HC1_15 [startTime: 78, endTime: 78]
  T43 -> HC1_16 [startTime: 78, endTime: 93]
  T44 -> HC2_26 [startTime: 847, endTime: 868]
  T45 -> HC1_17 [startTime: 163, endTime: 168]
  T46 -> HC1_18 [startTime: 93, endTime: 105]
  T47 -> HC2_27 [startTime: 93, endTime: 115]
  T48 -> HC2_28 [startTime: 93, endTime: 158]
  T49 -> HC1_19 [startTime: 868, endTime: 896]
  T50 -> HC1_20 [startTime: 868, endTime: 897]
  T51 -> HC1_21 [startTime: 868, endTime: 917]
  T52 -> HC1_22 [startTime: 868, endTime: 871]
  T53 -> HC1_23 [startTime: 242, endTime: 278]
  T54 -> HC1_24 [startTime: 224, endTime: 247]
  T55 -> HC2_29 [startTime: 158, endTime: 164]
  T56 -> HC2_30 [startTime: 158, endTime: 174]
  T57 -> HC1_25 [startTime: 158, endTime: 184]
  T58 -> HC2_31 [startTime: 158, endTime: 232]
  T59 -> HC2_32 [startTime: 278, endTime: 335]
  T60 -> HC2_33 [startTime: 278, endTime: 319]
  T61 -> HC1_26 [startTime: 278, endTime: 297]
  T62 -> HC1_27 [startTime: 847, endTime: 866]
  T63 -> HC1_28 [startTime: 49, endTime: 135]
  T64 -> HC2_34 [startTime: 917, endTime: 977]
  T65 -> HC1_29 [startTime: 917, endTime: 946]
  T66 -> HC1_30 [startTime: 917, endTime: 922]
  T67 -> HC1_31 [startTime: 78, endTime: 80]
  T68 -> HC2_35 [startTime: 49, endTime: 59]
  T69 -> HC1_32 [startTime: 281, endTime: 290]
  T70 -> HC2_36 [startTime: 917, endTime: 918]
  T71 -> HC1_33 [startTime: 946, endTime: 967]
  T72 -> HC1_34 [startTime: 946, endTime: 989]
  T73 -> HC1_35 [startTime: 297, endTime: 323]
  T74 -> HC1_36 [startTime: 297, endTime: 321]
  T75 -> HC2_37 [startTime: 297, endTime: 305]
  T76 -> HC1_37 [startTime: 247, endTime: 303]
  T77 -> HC1_38 [startTime: 232, endTime: 255]
  T78 -> HC1_39 [startTime: 232, endTime: 241]
  T79 -> HC2_38 [startTime: 217, endTime: 253]
  T80 -> HC2_39 [startTime: 59, endTime: 97]
  T81 -> HC2_40 [startTime: 967, endTime: 969]
  T82 -> HC1_40 [startTime: 305, endTime: 348]
  T83 -> HC2_41 [startTime: 196, endTime: 251]
  T84 -> HC2_42 [startTime: 196, endTime: 258]
  T85 -> HC2_43 [startTime: 196, endTime: 251]
  T86 -> HC1_41 [startTime: 196, endTime: 223]
  T87 -> HC1_42 [startTime: 95, endTime: 99]
  T88 -> HC1_43 [startTime: 897, endTime: 931]
  T89 -> HC2_44 [startTime: 897, endTime: 909]
  T90 -> HC1_44 [startTime: 232, endTime: 249]
  T91 -> HC1_45 [startTime: 184, endTime: 201]
